start;end;comment
1956-01-01;1956-06-07;
1956-08-08;1956-11-03;
1957-05-25;1957-06-01;
1958-09-30;1959-01-01;
1962-02-13;1962-05-03;
1962-12-14;1962-12-30;
1963-12-22;1964-01-05;
1964-12-02;1965-10-17;
1965-11-26;1965-12-01;
1966-03-18;1966-03-26;
1968-05-26;1968-05-31;
1968-09-18;1968-09-25;
1968-12-08;1968-12-20;
1969-02-14;1969-02-20;
1969-03-20;1969-04-05;
1969-08-24;1969-09-16;
1971-02-05;1971-02-12;
1971-07-22;1971-11-17;
1972-06-22;1972-06-28;
1972-09-14;1972-09-30;
1973-10-05;1973-10-09;
1974-06-28;1974-08-10;
1974-11-27;1975-01-10;
1976-07-04;1976-07-24;
1978-10-26;1978-12-08;
1979-06-14;1979-07-14;
1980-03-19;1980-05-15;
1980-11-13;1980-11-20;
1980-11-27;1980-12-13;
1982-04-21;1982-06-28;
1982-08-04;1982-08-14;
1983-02-10;1983-02-15;
1983-03-08;1983-03-11;
1983-03-23;1983-03-26;
1983-05-05;1983-05-12;
1983-05-26;1983-05-28;
1984-02-03;1984-02-07;
1984-03-01;1984-03-05;
1984-05-28;1984-05-30;
1984-06-16;1984-06-26;
1984-06-28;1984-07-21;
1984-08-09;1984-09-01;
1984-09-20;1984-10-02;
1984-11-22;1984-11-27;
1984-12-13;1984-12-15;
1984-12-31;1985-01-01;
1985-01-16;1985-01-26;
1985-02-04;1985-02-07;
1985-03-07;1985-04-16;
1985-07-28;1985-08-07;
1985-08-10;1985-08-15;
1985-08-28;1985-08-31;
1985-10-02;1985-10-26;
1985-11-18;1985-12-07;
1986-03-02;1986-03-05;
1986-04-26;1986-04-30;
1986-06-30;1986-07-03;
1986-07-28;1986-07-31;
1986-09-10;1986-09-17;
1986-10-19;1986-10-21;
1986-11-12;1986-11-15;
1986-11-23;1986-11-25;
1986-11-28;1986-11-30;
1986-12-07;1986-12-09;
1986-12-16;1986-12-24;
1987-01-18;1987-08-04;
1987-08-21;1987-08-28;
1987-09-19;1987-09-23;
1987-11-17;1988-08-10;
1989-02-09;1990-06-30;
1990-10-24;1991-05-23;
1991-07-05;1992-05-07;
1992-06-03;1992-08-20;
1992-09-23;1995-07-10;
1995-09-14;1996-09-27;
1997-04-03;1997-09-30;
1998-06-21;1998-06-30;
1999-02-10;1999-02-15;
1999-04-03;1999-04-07;
1999-07-18;1999-07-29;
2000-03-09;2000-03-14;
2003-10-15;2003-11-14;
2008-01-10;2009-01-01;
